File,Reference,Prediction,WER
common_voice_sd_41397153.mp3,ڇا اهو اسان کي ٻڌائي ٿو ته آمريڪي واپاري قانون ڪم ڪري رهيو آهي، هن چيو, چان اهو اسان کي اڌائي ٿو ته عمريقي، پاپاري ڪاملون ڪم ڪري رهيو آهي، نه ٿيو,0.4375
common_voice_sd_41397158.mp3,بخاري جي ٻين روايتن مان معلوم ٿئي ٿو, ٻو خاري جي بيٽن روائيٽن مان، معلوم ٿئي ٿو.,0.75
common_voice_sd_41397194.mp3,ڇهين مالا پيدا ٿئي ٿي, چهن مالا پيدا ٿئيٽيءَ ٿي,0.4
common_voice_sd_41397195.mp3,يقينن، ان جو مطلب اهو نه وٺڻ گهرجي ته هتي ڪي به مسئلا ۽ محروم طبقن جي کوٽ ناهي., اهڪينن اڻهن اڄهن جو مطلب اهو نه وٺڻ گھرجي هٽي هٽي ڪي به مسلاح ۽ محرون تبقن جي خو تناحي,0.5789
common_voice_sd_41397199.mp3,تنهن ڪري، انهن ۾ صالح آهن, تهن ڪري انهن ۾ سالي آهن,0.5
common_voice_sd_41397200.mp3,اهي حالتون تڏهن هيون., کئي حالتو تڏي هئيون.,1.0
common_voice_sd_41397487.mp3,حمائمه ملڪ به وومين پروٽيڪشن بل جي حامي آهي, هم ائي وان ملڪ به ومنهن پڙيشن بل جي هان ۾ آهي.,0.8889
common_voice_sd_41397489.mp3,توهان جي سادگي ۽ توهان جي والدين سان توهان جي شفقت ڏسي مان ڏاڍو متاثر ٿيو آهيان, توهان جي ساتگي ۽ توهان جي واڳائن سان توهان جي شفڪترسي واريا ڏو مٿاس چو آهيان,0.4706
common_voice_sd_41397523.mp3,احد چيما کي وٺو., اهڙ ٽيمان کي مٿو,0.75
common_voice_sd_41421602.mp3,خشونت سنگهه علامه اقبال جي ڪلام جو انگريزيءَ ۾ ترجمو ڪيو آهي., هشونهٽ سنگ عرام مائقبار جي خلام جو، جو انگريزي ۾ تجمعون پيو آهي,0.8333
common_voice_sd_41421678.mp3,هي انهن مان هڪ آهي., هي انهن وان هڪ آهي,0.4
common_voice_sd_41421686.mp3,مون عادت جي خلاف سينٽرل لاڪ کوليو ۽ کيس سامهون واري سيٽ تي ويهڻ جو اشارو ڪيو, ٻون عادت لي کلاف سنينٽرلوڪ کوليو ۽ کيس سامهون واري سيٽت تي ويهن جو شارو ڪيو,0.4706
common_voice_sd_41421762.mp3,پاڙيسرين سان پرامن زندگي گذاريو,پاري سرين سان پر امن زن تقي گذاريو.,1.4
common_voice_sd_41421798.mp3,ڪڏهن ڇوڪرين کي گوليون هڻي زنده دفن ڪيو ويندو آهي,ڪڏهن چونڪرين کي ٻوليون هني جندا دفن ڪيون ويدو آهي,0.6
common_voice_sd_41421807.mp3,اها صلاحيت پنهنجي عروج تي نظر اچي ٿي, يا سرائي تپنجي ارون جتي نظر اچيئن ٿي,0.75
common_voice_sd_41421870.mp3,هن سوچ کي تبديل ڪرڻ جي ضرورت آهي., هن سوچ کي تبديل ڪڙجي ضرورت آهي,0.375
common_voice_sd_41425127.mp3,آسٽريليا خلاف ٽي ٽوئنٽي اسڪواڊ جو اعلان ڪري ڇڏيو عامر بهير عماد جي واپسي, هونسٽريليا کلاس ٽيٽنٽي اسڪوار جو اعلاد ڪري ڇڏيو آمهر بيهر عماد جي واپسي,0.5714
common_voice_sd_41425190.mp3,ايترو خوش ٿيو جو هاڻي ملاقات جا چانس وڌندا., هيترو خوش ٿيو جو هالي ملاڪت جا چان سو وڌ ما,0.7778
common_voice_sd_41425208.mp3,مون کي اها جرئت نه هئي ته کيس اها خراب خبر ٻڌايان, مون کي اه جورت نهوءِ ته کيس اها خراب خبر ٻڌ آيان,0.5
common_voice_sd_41425246.mp3,هن ڀيري به اسلام آباد جو مقابلو آهي، پر هن ڀيري به مقابلو آهي, هن بھري به اسلام ووحد جو موقعبرو آهي، پڙهن هن بھري به موقعبرو آهي,0.4286
common_voice_sd_41425265.mp3,مان ڇا ٿو چوان ته ”اسين توکي قيامت ۾ وٺي وينداسين“., مان چان ٿو چوءَ ته اسين تو کي ڪيئن ڪيئن ڪيئن ته ڪيئن ڪيئن ڪيئن ته ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڪيئن ڏاسينهن,5.5455
common_voice_sd_41425290.mp3,ايشيا, پيشيا,1.0
common_voice_sd_41425296.mp3,مثال ڏيو., بسال ڏيو,1.0
common_voice_sd_41425328.mp3,اها آهي سخت تنقيد., هوه آهي سڪت تنقي ده,1.0
common_voice_sd_41425350.mp3,مون پنهنجي آخري پوسٽ ۾ چيو هو ته اسان جي ٽيم کٽي رهي آهي پر ان ۾ چيمپيئن بڻجڻ جو معيار ناهي, هون پنهنجي آهنجي آهن خٽيءَ رهي آهي، پر ان ۾ چنپن ڀڄڻ جي آهن جو ميار ناهي,0.7727
common_voice_sd_41425395.mp3,ٻيو مالا پيدا ٿيو, ٻيو معلو پيدا چو,0.5
